Iter = 38, 瞷︽秆cost = 112367.98, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 39, 瞷︽秆cost = 112364.77, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 40, 瞷︽秆cost = 112375.95, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 41, 瞷︽秆cost = 112359.47, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 42, 瞷︽秆cost = 112355.81, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 43, 瞷︽秆cost = 112406.66, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 44, 瞷︽秆cost = 112386.78, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 45, 瞷︽秆cost = 112409.51, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 46, 瞷︽秆cost = 112352.82, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 47, 瞷︽秆cost = 112381.04, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 48, 瞷︽秆cost = 112382.95, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 49, 瞷︽秆cost = 112373.41, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 50, 瞷︽秆cost = 112369.30, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 51, 瞷︽秆cost = 112322.52, ó进计 = 11, 繦诀家览Ω计 = 6, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
